Arrival_mode,Triage_category,State,presentations,totbyarrival,proptotal
"Ambulance, air ambulance or helicopter rescue service",Resuscitation,NSW,17231,674238,2.555625758
Police/correctional services vehicle,Resuscitation,NSW,93,12350,0.753036437
Other(a),Resuscitation,NSW,3371,2285198,0.14751457
Not reported,Resuscitation,NSW,47,1908,2.463312369
"Ambulance, air ambulance or helicopter rescue service",Emergency,NSW,160702,674238,23.83461033
Police/correctional services vehicle,Emergency,NSW,1988,12350,16.09716599
Other(a),Emergency,NSW,218132,2285198,9.545431074
Not reported,Emergency,NSW,485,1908,25.41928721
"Ambulance, air ambulance or helicopter rescue service",Urgent,NSW,324216,674238,48.08628407
Police/correctional services vehicle,Urgent,NSW,4719,12350,38.21052632
Other(a),Urgent,NSW,699613,2285198,30.61498391
Not reported,Urgent,NSW,784,1908,41.09014675
"Ambulance, air ambulance or helicopter rescue service",Semi-urgent,NSW,161503,674238,23.95341111
Police/correctional services vehicle,Semi-urgent,NSW,3511,12350,28.4291498
Other(a),Semi-urgent,NSW,1040965,2285198,45.55250792
Not reported,Semi-urgent,NSW,508,1908,26.62473795
"Ambulance, air ambulance or helicopter rescue service",Non-urgent,NSW,10586,674238,1.570068729
Police/correctional services vehicle,Non-urgent,NSW,2039,12350,16.51012146
Other(a),Non-urgent,NSW,323117,2285198,14.13956252
Not reported,Non-urgent,NSW,84,1908,4.402515723
"Ambulance, air ambulance or helicopter rescue service",Resuscitation,Vic,8822,483401,1.824985881
Police/correctional services vehicle,Resuscitation,Vic,34,5786,0.587625302
Other(a),Resuscitation,Vic,1710,1369702,0.124844674
Not reported,Resuscitation,Vic,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Emergency,Vic,108339,483401,22.41182786
Police/correctional services vehicle,Emergency,Vic,1723,5786,29.77877636
Other(a),Emergency,Vic,124090,1369702,9.059634869
Not reported,Emergency,Vic,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Urgent,Vic,246037,483401,50.89708131
Police/correctional services vehicle,Urgent,Vic,2844,5786,49.15312824
Other(a),Urgent,Vic,468127,1369702,34.1772882
Not reported,Urgent,Vic,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Semi-urgent,Vic,116284,483401,24.05539087
Police/correctional services vehicle,Semi-urgent,Vic,918,5786,15.86588317
Other(a),Semi-urgent,Vic,635107,1369702,46.36826113
Not reported,Semi-urgent,Vic,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Non-urgent,Vic,3919,483401,0.810714086
Police/correctional services vehicle,Non-urgent,Vic,267,5786,4.614586934
Other(a),Non-urgent,Vic,140668,1369702,10.26997113
Not reported,Non-urgent,Vic,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Resuscitation,Qld,12663,550516,2.300205625
Police/correctional services vehicle,Resuscitation,Qld,245,13758,1.78078209
Other(a),Resuscitation,Qld,2205,997551,0.22104133
Not reported,Resuscitation,Qld,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Emergency,Qld,136985,550516,24.88301884
Police/correctional services vehicle,Emergency,Qld,3491,13758,25.37432766
Other(a),Emergency,Qld,116310,997551,11.65955425
Not reported,Emergency,Qld,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Urgent,Qld,295452,550516,53.66819493
Police/correctional services vehicle,Urgent,Qld,6769,13758,49.20046518
Other(a),Urgent,Qld,415931,997551,41.69521157
Not reported,Urgent,Qld,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Semi-urgent,Qld,100025,550516,18.16931751
Police/correctional services vehicle,Semi-urgent,Qld,2470,13758,17.95319087
Other(a),Semi-urgent,Qld,399050,997551,40.00296727
Not reported,Semi-urgent,Qld,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Non-urgent,Qld,5391,550516,0.979263091
Police/correctional services vehicle,Non-urgent,Qld,783,13758,5.691234191
Other(a),Non-urgent,Qld,64055,997551,6.421225581
Not reported,Non-urgent,Qld,0,0,0
"Ambulance, air ambulance or helicopter rescue service",Resuscitation,WA,6333,181852,3.482502255
Police/correctional services vehicle,Resuscitation,WA,53,11488,0.461350975
Other(a),Resuscitation,WA,1227,761277,0.161176549
Not reported,Resuscitation,WA,5,358,1.396648045
"Ambulance, air ambulance or helicopter rescue service",Emergency,WA,44596,181852,24.52323868
Police/correctional services vehicle,Emergency,WA,2066,11488,17.98398329
Other(a),Emergency,WA,82206,761277,10.79843474
Not reported,Emergency,WA,85,358,23.74301676
"Ambulance, air ambulance or helicopter rescue service",Urgent,WA,81670,181852,44.91014671
Police/correctional services vehicle,Urgent,WA,5071,11488,44.14171309
Other(a),Urgent,WA,237948,761277,31.25642834
Not reported,Urgent,WA,143,358,39.94413408
"Ambulance, air ambulance or helicopter rescue service",Semi-urgent,WA,47168,181852,25.93757561
Police/correctional services vehicle,Semi-urgent,WA,3597,11488,31.31093315
Other(a),Semi-urgent,WA,368658,761277,48.42626271
Not reported,Semi-urgent,WA,117,358,32.68156425
"Ambulance, air ambulance or helicopter rescue service",Non-urgent,WA,2085,181852,1.146536744
Police/correctional services vehicle,Non-urgent,WA,701,11488,6.102019499
Other(a),Non-urgent,WA,71238,761277,9.357697658
Not reported,Non-urgent,WA,8,358,2.234636872
"Ambulance, air ambulance or helicopter rescue service",Resuscitation,SA,6211,167433,3.709543519
Police/correctional services vehicle,Resuscitation,SA,23,5030,0.457256461
Other(a),Resuscitation,SA,1101,345844,0.318351627
Not reported,Resuscitation,SA,23,1300,1.769230769
"Ambulance, air ambulance or helicopter rescue service",Emergency,SA,39313,167433,23.4798397
Police/correctional services vehicle,Emergency,SA,576,5030,11.45129225
Other(a),Emergency,SA,37172,345844,10.74819861
Not reported,Emergency,SA,232,1300,17.84615385
"Ambulance, air ambulance or helicopter rescue service",Urgent,SA,83966,167433,50.14901483
Police/correctional services vehicle,Urgent,SA,2372,5030,47.15705765
Other(a),Urgent,SA,125202,345844,36.20187136
Not reported,Urgent,SA,522,1300,40.15384615
"Ambulance, air ambulance or helicopter rescue service",Semi-urgent,SA,35954,167433,21.47366409
Police/correctional services vehicle,Semi-urgent,SA,1594,5030,31.68986083
Other(a),Semi-urgent,SA,153286,345844,44.3222956
Not reported,Semi-urgent,SA,404,1300,31.07692308
"Ambulance, air ambulance or helicopter rescue service",Non-urgent,SA,1989,167433,1.187937862
Police/correctional services vehicle,Non-urgent,SA,465,5030,9.244532803
Other(a),Non-urgent,SA,29083,345844,8.409282798
Not reported,Non-urgent,SA,119,1300,9.153846154
"Ambulance, air ambulance or helicopter rescue service",Resuscitation,Tas,941,47614,1.976309489
Police/correctional services vehicle,Resuscitation,Tas,15,2593,0.578480524
Other(a),Resuscitation,Tas,85,115207,0.073780239
Not reported,Resuscitation,Tas,0,135,0
"Ambulance, air ambulance or helicopter rescue service",Emergency,Tas,9810,47614,20.60318394
Police/correctional services vehicle,Emergency,Tas,226,2593,8.715773236
Other(a),Emergency,Tas,7251,115207,6.293888392
Not reported,Emergency,Tas,4,135,2.962962963
"Ambulance, air ambulance or helicopter rescue service",Urgent,Tas,23590,47614,49.54425169
Police/correctional services vehicle,Urgent,Tas,839,2593,32.356344
Other(a),Urgent,Tas,34609,115207,30.04070933
Not reported,Urgent,Tas,52,135,38.51851852
"Ambulance, air ambulance or helicopter rescue service",Semi-urgent,Tas,12592,47614,26.44600328
Police/correctional services vehicle,Semi-urgent,Tas,395,2593,15.23332048
Other(a),Semi-urgent,Tas,59778,115207,51.88747212
Not reported,Semi-urgent,Tas,69,135,51.11111111
"Ambulance, air ambulance or helicopter rescue service",Non-urgent,Tas,681,47614,1.430251607
Police/correctional services vehicle,Non-urgent,Tas,1118,2593,43.11608176
Other(a),Non-urgent,Tas,13484,115207,11.70414992
Not reported,Non-urgent,Tas,10,135,7.407407407
"Ambulance, air ambulance or helicopter rescue service",Resuscitation,ACT,736,31353,2.347462763
Police/correctional services vehicle,Resuscitation,ACT,2,1018,0.196463654
Other(a),Resuscitation,ACT,76,116902,0.065011719
Not reported,Resuscitation,ACT,0,0,0
