"","state","time_period","pres_per_1000"
"1","New South Wales","2014-15",350.5
"2","New South Wales","2015-16",352.7
"3","New South Wales","2016-17",353
"4","New South Wales","2017-18",358.2
"5","New South Wales","2018-19",364.3
"6","Victoria","2014-15",269.3
"7","Victoria","2015-16",274.8
"8","Victoria","2016-17",275.7
"9","Victoria","2017-18",278.6
"10","Victoria","2018-19",282.6
"11","Queensland","2014-15",291.4
"12","Queensland","2015-16",300.5
"13","Queensland","2016-17",299.6
"14","Queensland","2017-18",305.1
"15","Queensland","2018-19",309.9
"16","Western Australia","2014-15",319
"17","Western Australia","2015-16",326
"18","Western Australia","2016-17",326.1
"19","Western Australia","2017-18",331.1
"20","Western Australia","2018-19",365.9
"21","South Australia","2014-15",273.8
"22","South Australia","2015-16",278.7
"23","South Australia","2016-17",282.5
"24","South Australia","2017-18",287.8
"25","South Australia","2018-19",293.1
"26","Tasmania","2014-15",294.8
"27","Tasmania","2015-16",300.8
"28","Tasmania","2016-17",303.7
"29","Tasmania","2017-18",311.9
"30","Tasmania","2018-19",314.7
"31","Australian Capital Territory","2014-15",335.3
"32","Australian Capital Territory","2015-16",0
"33","Australian Capital Territory","2016-17",357.7
"34","Australian Capital Territory","2017-18",358.8
"35","Australian Capital Territory","2018-19",354.7
"36","Northern Territory","2014-15",608.7
"37","Northern Territory","2015-16",628.8
"38","Northern Territory","2016-17",649.7
"39","Northern Territory","2017-18",665.3
"40","Northern Territory","2018-19",689.9
"41","Total","2014-15",310.4
"42","Total","2015-16",310.1
"43","Total","2016-17",316.5
"44","Total","2017-18",321.2
"45","Total","2018-19",329.2
